"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 25 20:21:17 EET 2024","Thu Jan 25 20:21:17 EET 2024","3","Default Suite","vodafone0","homePageTest","homePageTest","setup","setup",""
"broken","Thu Jan 25 19:46:17 EET 2024","Thu Jan 25 19:46:31 EET 2024","13421","Default Suite","vodafone0","addItem_1Test","addItem_1Test","successfulLoginTest","successfulLoginTest",""
"passed","Thu Jan 25 22:28:28 EET 2024","Thu Jan 25 22:28:53 EET 2024","24324","Default Suite","vodafone0","addItem_1Test","addItem_1Test","addingItem_1ToCartTest","addingItem_1ToCartTest",""
"passed","Fri Jan 26 06:01:31 EET 2024","Fri Jan 26 06:01:54 EET 2024","22581","All Test Suite","E:/valeo prepration/iti studying/testing/automation/Vodafone/second-part/vodafone0","homePageTest.homePageTest","homePageTest.homePageTest","clickONItem_1","clickONItem_1",""
"passed","Fri Jan 26 06:18:29 EET 2024","Fri Jan 26 06:19:36 EET 2024","67062","All Test Suite","E:/valeo prepration/iti studying/testing/automation/Vodafone/second-part/vodafone0","add3ItemsInOneTest.add3ItemsInOneTest","add3ItemsInOneTest.add3ItemsInOneTest","add3ItemsInOneTest","add3ItemsInOneTest",""
"passed","Thu Jan 25 20:41:15 EET 2024","Thu Jan 25 20:41:19 EET 2024","3993","Default Suite","vodafone0","homePageTest","homePageTest","openHomePage","openHomePage",""
"broken","Thu Jan 25 19:40:50 EET 2024","Thu Jan 25 19:40:50 EET 2024","72","Default Suite","vodafone0","addItem_1Test","addItem_1Test","addItem_1ToCart","addItem_1ToCart",""
"broken","Fri Jan 26 05:59:21 EET 2024","Fri Jan 26 05:59:45 EET 2024","23657","All Test Suite","E:/valeo prepration/iti studying/testing/automation/Vodafone/second-part/vodafone0","addItem_3Test.addItem_3Test","addItem_3Test.addItem_3Test","addingItem_3ToCartTest","addingItem_3ToCartTest",""
"broken","Thu Jan 25 19:40:50 EET 2024","Thu Jan 25 19:40:50 EET 2024","37","Default Suite","vodafone0","addItem_1Test","addItem_1Test","clickOnItem_1","clickOnItem_1",""
"passed","Thu Jan 25 22:18:20 EET 2024","Thu Jan 25 22:18:34 EET 2024","14095","Default Suite","vodafone0","homePageTest","homePageTest","clickONItem_1","clickONItem_1",""
"passed","Thu Jan 25 22:56:28 EET 2024","Thu Jan 25 22:56:45 EET 2024","17397","Default Suite","vodafone0","addItem_2Test.addItem_2Test","addItem_2Test.addItem_2Test","addingItem_1ToCartTest","addingItem_1ToCartTest",""
"failed","Fri Jan 26 06:00:10 EET 2024","Fri Jan 26 06:00:39 EET 2024","28959","All Test Suite","E:/valeo prepration/iti studying/testing/automation/Vodafone/second-part/vodafone0","additem_1Test.addItem_1Test","additem_1Test.addItem_1Test","addingItem_1ToCartTest","addingItem_1ToCartTest",""
"broken","Fri Jan 26 05:58:46 EET 2024","Fri Jan 26 05:58:53 EET 2024","6838","All Test Suite","E:/valeo prepration/iti studying/testing/automation/Vodafone/second-part/vodafone0","addItem_2Test.addItem_2Test","addItem_2Test.addItem_2Test","addingItem_2ToCartTest","addingItem_2ToCartTest",""
"passed","Fri Jan 26 06:02:39 EET 2024","Fri Jan 26 06:02:45 EET 2024","5684","All Test Suite","E:/valeo prepration/iti studying/testing/automation/Vodafone/second-part/vodafone0","loginTest.loginTest","loginTest.loginTest","successfulLoginTest","successfulLoginTest",""
